    ID        TITLE    CATEGORY_ID   NAME
=========================================
(179571326, 'Item_100', 15010001, 'PRODUCTO_A')
(179571326, 'Item_102', 15010201, 'PRODUCTO_C')
(179571326, 'Item_102', 15010101, 'PRODUCTO_C')
(179571326, 'Item_100', 15010001, 'PRODUCTO_A')
(179571326, 'Item_102', 15010201, 'PRODUCTO_C')
(179571326, 'Item_102', 15010101, 'PRODUCTO_C')
(179571326, 'Item_100', 15010001, 'PRODUCTO_A')
(179571326, 'Item_102', 15010201, 'PRODUCTO_C')
(179571326, 'Item_102', 15010101, 'PRODUCTO_C')
(179571326, 'Item_100', 15010001, 'PRODUCTO_A')
(179571326, 'Item_102', 15010201, 'PRODUCTO_C')
(179571326, 'Item_102', 15010101, 'PRODUCTO_C')
(179571326, 'Item_100', 15010001, 'PRODUCTO_A')
(179571326, 'Item_102', 15010201, 'PRODUCTO_C')
(179571326, 'Item_102', 15010101, 'PRODUCTO_C')
(179571326, 'Item_100', 15010001, 'PRODUCTO_A')
(179571326, 'Item_102', 15010201, 'PRODUCTO_C')
(179571326, 'Item_102', 15010101, 'PRODUCTO_C')
